Order Date,Discount,Sales,Profit,Sub-Category_Bookcases,Sub-Category_Tables,Region_Central,Region_South,State_Alabama,State_Arizona,State_Arkansas,State_Colorado,State_Connecticut,State_Delaware,State_District of Columbia,State_Florida,State_Georgia,State_Idaho,State_Illinois,State_Indiana,State_Iowa,State_Kansas,State_Kentucky,State_Louisiana,State_Maine,State_Maryland,State_Massachusetts,State_Michigan,State_Minnesota,State_Mississippi,State_Missouri,State_Montana,State_Nebraska,State_Nevada,State_New Hampshire,State_New Jersey,State_New Mexico,State_New York,State_North Carolina,State_Ohio,State_Oklahoma,State_Oregon,State_Pennsylvania,State_Rhode Island,State_South Carolina,State_South Dakota,State_Tennessee,State_Texas,State_Utah,State_Virginia,State_Washington,State_West Virginia,State_Wisconsin,State_Wyoming,Ship Mode_First Class,Ship Mode_Same Day,Ship Mode_Second Class,Segment_Home Office,Year
2014-01-31,0.20192307692307693,6242.525,805.4665,5,1,4,8,0,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,3,0,0,0,0,5,0,3,3,2014
2014-02-28,0.15999999999999998,1839.6580000000001,120.6917,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2,1,2014
2014-03-31,0.20308823529411765,14573.956,-1128.6550000000002,3,8,7,9,0,1,0,0,0,0,0,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,2,5,0,1,4,0,0,0,4,1,4,8,2014
2014-04-30,0.1130952380952381,7944.837,554.3801,1,7,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,1,3,0,1,1,0,0,0,2,1,4,9,2014
2014-05-31,0.26979166666666665,6912.787,-349.87760000000003,2,4,9,1,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,1,0,1,0,3,2,5,0,2014
2014-06-30,0.17035087719298247,13206.1256,596.3153,3,8,8,5,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,4,0,0,0,0,4,0,0,0,1,3,1,2,3,0,0,0,2,0,6,3,2014
2014-07-31,0.1764814814814815,10821.051,374.2467,2,6,5,5,0,1,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,3,0,0,0,0,5,0,0,2,0,0,0,4,2,3,6,2014
2014-08-31,0.14791666666666667,7320.3465,663.4717,2,5,3,7,0,1,1,2,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,3,1,0,0,0,4,0,5,1,2014
2014-09-30,0.14909722222222224,23816.4808,1858.5976,5,8,14,4,0,1,0,0,0,0,0,3,1,0,2,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,12,0,1,4,1,6,0,0,0,0,7,0,0,5,0,0,0,11,3,11,12,2014
2014-10-31,0.17135416666666667,12304.247,249.1645000000001,1,7,3,7,1,1,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,1,4,0,0,1,2,0,1,3,0,0,0,8,1,12,5,2014
2014-11-30,0.16897727272727273,21564.8727,-297.8958,9,7,17,5,0,0,0,2,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8,2,3,0,0,5,1,1,0,0,8,0,2,2,0,1,0,9,3,12,8,2014
2014-12-31,0.22633333333333336,30645.966500000002,2011.8198000000002,4,9,16,8,1,3,0,3,0,0,0,3,0,1,7,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,5,0,6,0,1,2,2,0,0,1,8,0,3,1,0,1,0,16,0,23,11,2014
2015-01-31,0.24750000000000003,11739.9416,-3014.2,2,3,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,3,0,1,1,0,0,0,1,0,4,2,2015
2015-02-28,0.18888888888888888,3134.374,394.8948,1,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,2,0,1,0,2015
2015-03-31,0.16229166666666667,12499.783,1455.0573,5,3,10,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,4,0,0,5,0,3,0,4,1,10,6,2015
2015-04-30,0.12717948717948718,10475.6985,338.6502,2,6,8,10,0,0,0,0,0,0,1,3,1,0,2,2,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,2,4,0,2,0,0,0,0,2,0,2,5,2015
2015-05-31,0.20216666666666666,9374.950499999999,900.5847,2,1,10,2,0,1,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,3,1,3,0,0,1,0,0,0,0,4,1,0,1,0,0,0,3,0,9,5,2015
2015-06-30,0.1537037037037037,7714.179,-412.6597,1,1,3,8,0,4,0,0,0,0,0,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,3,0,0,0,1,2,0,2,0,0,0,0,6,0,4,4,2015
2015-07-31,0.175,13674.42,-325.09379999999993,7,4,7,7,1,4,0,0,0,1,0,1,0,0,6,0,0,0,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,6,3,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,10,3,11,5,2015
2015-08-31,0.21244791666666665,9638.5922,-487.4709,6,7,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,1,2,0,1,2,1,0,0,0,6,0,0,0,0,1,0,6,4,3,5,2015
2015-09-30,0.1200375939849624,26273.022999999997,1350.1184999999998,9,8,10,12,3,1,0,1,0,0,0,2,1,0,2,1,1,0,0,2,0,0,5,1,1,0,0,0,0,0,0,1,0,10,0,0,0,0,2,0,1,0,0,4,2,3,2,0,0,0,8,6,6,15,2015
2015-10-31,0.19035087719298247,12026.6235,-605.5163,6,5,6,5,0,0,0,2,0,1,0,1,1,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,3,1,0,0,0,0,4,0,0,1,0,0,0,5,6,7,4,2015
2015-11-30,0.1262777777777778,30880.8325,2992.0240000000003,12,10,16,13,0,0,1,2,0,2,0,4,0,1,4,0,0,0,0,0,0,0,3,2,1,0,1,1,0,2,0,0,2,12,5,3,1,0,2,0,0,0,1,4,1,2,2,0,3,0,5,3,15,15,2015
2015-12-31,0.20745454545454545,23085.8192,428.8141,8,8,16,8,0,4,0,5,0,0,0,0,1,0,3,0,0,0,1,0,0,1,0,7,0,1,1,0,0,0,1,0,0,7,1,5,0,0,3,0,0,0,4,5,0,0,3,0,0,0,4,6,10,9,2015
2016-01-31,0.1511111111111111,7622.743,303.9607,4,4,4,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,3,2,1,0,0,0,0,0,0,1,0,0,5,0,1,0,0,1,8,2,2016
2016-02-29,0.17424242424242423,3925.551,377.03520000000003,1,2,4,6,0,1,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,3,2,1,2,2016
2016-03-31,0.20936507936507937,12801.092,-555.268,5,8,12,7,0,0,0,1,0,0,0,1,3,0,4,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,7,0,3,0,0,2,0,0,0,1,6,0,1,2,0,1,0,5,4,10,5,2016
2016-04-30,0.1706140350877193,13212.09,364.8334,4,3,8,6,0,4,1,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,1,1,0,0,0,0,0,0,1,4,0,1,0,0,1,0,2,1,7,11,2016
2016-05-31,0.14772727272727273,15119.835000000001,1824.4739,0,6,10,9,0,0,0,1,1,1,1,2,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,7,1,3,0,0,0,0,0,0,3,2,0,2,0,0,2,0,6,2,4,4,2016
2016-06-30,0.19854166666666667,13070.572,-106.26650000000001,5,9,12,1,0,0,0,2,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6,0,2,1,0,2,0,0,0,0,5,0,0,1,0,0,0,7,4,11,5,2016
2016-07-31,0.17205882352941176,13068.519,1038.9073,4,2,9,6,0,0,0,3,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,1,0,3,0,0,0,0,0,0,0,4,1,0,0,1,2,0,0,0,0,4,0,0,3,0,2,0,4,1,11,3,2016
2016-08-31,0.23500000000000001,12483.2323,-494.1457,3,10,7,4,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,5,0,0,0,0,5,0,1,1,0,1,0,6,0,9,8,2016
2016-09-30,0.1701909722222222,27262.8809,702.6024999999998,11,9,21,11,1,1,0,6,0,0,0,1,2,1,7,1,0,0,2,0,1,2,3,2,0,0,0,0,1,0,0,0,0,8,3,6,0,0,5,1,0,0,0,7,0,2,5,0,3,0,8,5,15,14,2016
2016-10-31,0.23324561403508773,11872.577000000001,-144.6600000000001,4,5,10,9,0,2,0,4,1,0,0,5,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,7,1,1,1,0,2,0,0,0,0,5,0,3,1,0,0,0,9,6,3,6,2016
2016-11-30,0.18496,31783.6288,819.8088,8,9,19,15,0,0,0,0,0,1,0,6,1,0,3,1,0,0,4,0,0,1,0,3,0,0,1,0,0,0,0,1,0,5,2,7,2,3,6,0,0,0,0,9,0,2,5,0,0,1,10,4,21,16,2016
2016-12-31,0.13665750915750915,36678.715,2828.6715,5,19,20,8,0,3,1,0,1,1,0,0,0,0,2,4,0,1,1,0,0,1,3,2,1,2,0,0,1,0,1,1,0,9,0,2,0,5,2,1,0,0,1,5,0,3,3,0,4,0,14,6,14,8,2016
2017-01-31,0.08111111111111112,5964.032,-39.44019999999996,2,5,10,2,0,0,0,0,0,0,1,1,1,0,1,1,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,3,0,0,2,0,0,0,2,2,9,5,2017
2017-02-28,0.20594871794871794,6866.3374,-199.04210000000003,5,3,6,3,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,2,0,1,2,0,0,0,8,0,4,11,2017
2017-03-31,0.14486666666666667,10893.444800000001,1000.8532,4,5,15,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,5,0,1,1,0,4,0,0,0,0,7,0,1,1,0,3,0,5,2,10,9,2017
2017-04-30,0.18050000000000002,9065.9581,202.4624,7,4,7,13,0,0,0,1,0,0,0,7,2,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,1,1,1,0,0,6,0,1,0,2,2,0,0,2,0,0,0,12,0,6,9,2017
2017-05-31,0.20440000000000003,16957.5582,-72.88289999999998,9,6,14,10,0,1,0,1,0,0,0,3,2,1,4,1,0,0,0,2,0,2,0,3,0,0,0,0,0,0,1,2,0,3,1,2,1,1,4,0,1,0,1,5,0,0,4,0,0,0,11,2,7,7,2017
2017-06-30,0.16181159420289856,19008.5867,904.9956,10,8,13,12,0,1,0,0,2,0,0,3,1,0,6,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,3,3,0,0,0,0,0,0,4,4,0,0,5,0,0,0,9,1,17,14,2017
2017-07-31,0.17365079365079364,11813.021999999999,324.62440000000004,4,7,8,10,0,3,0,0,0,3,0,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,2,2,1,0,6,0,0,1,0,3,0,3,4,0,0,0,6,1,11,6,2017
2017-08-31,0.16865079365079363,15441.874,322.239,3,6,5,6,0,1,0,1,0,0,0,1,0,0,2,1,0,0,0,2,0,3,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,2,2,0,0,4,0,0,0,7,1,13,6,2017
2017-09-30,0.1579017857142857,29028.206000000002,1548.6837,7,9,13,6,0,0,0,3,0,0,0,3,2,0,3,0,0,0,0,0,0,0,1,2,2,0,1,0,0,0,0,2,0,16,0,6,0,2,5,0,0,0,1,5,2,0,5,0,0,0,15,13,16,16,2017
2017-10-31,0.1709488888888889,21884.0682,-2526.9202999999998,7,22,14,14,1,0,0,1,0,0,0,3,0,1,6,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,2,0,6,2,2,2,3,1,4,0,0,5,5,0,1,5,1,0,0,23,6,7,13,2017
2017-11-30,0.1574425287356322,37056.715,406.06370000000004,6,17,23,15,0,3,0,0,0,0,0,3,0,0,3,3,0,0,4,0,0,4,0,2,0,0,1,0,0,0,0,0,1,14,3,3,0,0,8,0,0,0,5,12,0,0,7,0,2,0,15,6,22,24,2017
2017-12-31,0.15378095238095238,31407.466800000002,1146.7548000000002,12,12,21,16,1,3,0,8,3,0,0,4,0,0,8,0,0,0,4,1,0,0,1,3,1,0,0,0,1,1,0,3,0,13,0,2,0,0,10,1,1,0,2,6,0,3,7,0,2,0,15,6,19,16,2017
